"main.id","hpq_prog.id","prog_line","progtype","progname","prognmem","progimplementor","progimplementor_o"
"122739","0","9","16","take care.icare","4","3",""
"122744","0","5","16","take care,i care","2","3",""
"122745","0","5","15","value care","3","6",""
"122746","0","5","16","take care i care","3","3",""
"122747","0","8","16","take care,i care","7","3",""
"122753","0","4","16","take care,i care","3","3",""
"122758","0","6","16","take care.i care","5","3",""
"122764","0","3","16","take care.i care","2","3",""
"122766","0","2","16","take care.i care","1","3",""
"122768","0","8","16","take care,i care","7","3",""
"122775","0","3","16","take care,i care","1","3",""
"122777","0","7","16","take care,i care","6","3",""
"127115","0","3","16","take care,i care2","2","3",""
"127117","0","4","16","take care,i care","3","3",""
"127118","0","2","16","take care,i care","1","3",""
"127123","0","5","16","take care.i care","3","3",""
"127128","0","13","16","take care.i care","5","3",""
"127131","0","3","16","take care,i care","2","3",""
"127133","0","6","15","maxi care","5","6",""
"127134","0","3","15","phij.care","1","6",""
"127135","0","11","16","take care.i care","5","3",""
"127136","0","6","16","take care,i care","5","3",""
"127136","1","7","15","intellicare","5","6",""
"127139","0","4","16","take care i care","1","3",""
"127141","0","4","16","take care i cate","2","3",""
"127144","0","11","16","take care i care","2","3",""
"127146","0","3","16","take care.i care","1","3",""
"127151","0","4","16","take care i care","3","3",""
"127152","0","4","15","asian life","2","6",""
"128538","0","5","16","take care,i care","4","3",""
"128549","0","7","15","value care","4","6",""
"128552","0","23","16","take care i care","4","3",""
"128554","0","21","16","take care i care","2","3",""
"128555","0","4","15","maxi care","2","6",""
"128558","0","5","16","take care,i care","2","3",""
"128563","0","6","16","take care,i care","4","3",""
"129223","0","3","16","take cre i care","2","3",""
"129226","0","5","15","intellicare","3","6",""
"129235","0","8","15","hmi","2","6",""
"129235","1","9","15","medicare","2","6",""
"129571","0","46","15","maxicare","4","6",""
"129572","0","6","15","phil care","5","6",""
"129573","0","3","15","medicard","1","6",""
"129573","1","4","15","lacson and lacson","1","6",""
"129576","0","8","15","asian life","5","6",""
"129577","0","2","15","philcare","1","6",""
"129579","0","8","16","take care i care","1","3",""
"129581","0","6","15","medicard","1","6",""
"129585","0","7","16","take care, i care","2","3",""
"129587","0","48","16","take care, i care","2","3",""
"129594","0","11","16","take care, i care","1","3",""
"129599","0","5","15","coco life","1","6",""
"129603","0","5","15","medicard","1","6",""
"129616","0","15","16","take care, i care","1","3",""
"129646","0","3","15","maxicare","1","6",""
"129655","0","9","16","take care, i care","1","3",""
"129656","0","6","15","value care","1","8","company"
"130745","0","5","15","medicard","4","6",""
"130749","0","5","15","medicare","1","6",""
"130749","1","6","16","take care,i care","4","3",""
"130751","0","4","15","medicard","3","6",""
"130752","0","3","16","take care,i care","1","3",""
"130753","0","3","16","take care i care","2","3",""
"130757","0","5","15","medicard","4","6",""
"130765","0","6","15","maxicare","3","6",""
"130808","0","6","15","cocolife","3","6",""
"130809","0","13","15","medicard","4","6",""
"130814","0","6","16","take care i care","1","3",""
"130824","0","9","16","take care,i care","4","3",""
"130833","0","5","16","take care,i care","2","3",""
"130840","0","6","15","maxicare","2","6",""
"132126","0","4","16","phil care","3","6",""
"132142","0","6","16","philhealth","1","3",""
"132179","0","3","16","maxicare","1","6",""
"133730","0","5","16","Take Care I Care","1","3",""
"133735","0","6","16","Take Care I Care","5","3",""
"133736","0","13","16","Take Care I Care","6","3",""
"133737","0","6","16","Take Care I Care","4","3",""
"133740","0","7","16","Take Care I Care","6","3",""
"133757","0","5","16","Take Care I Care","4","3",""
"133767","0","7","16","Take Care i care","5","3",""
"133788","0","5","16","Take Care I Care","4","3",""
"136781","0","5","16","take care i care","4","3",""
"136783","0","3","16","takecare i care","2","3",""
"136785","0","11","16","take care i care","2","3",""
"136788","0","6","16","take care i care","3","3",""
"136809","0","3","16","take care i care","1","3",""
"136891","0","8","16","take care ,i care","7","3",""
"136893","0","8","16","take care , i care","6","3",""
"136894","0","4","16","take carec,i care","2","3",""
"136896","0","4","16","take care, i care","2","3",""
"136897","0","3","16","take care, icare","1","3",""
"136898","0","3","16","take care , i care","1","3",""
"136900","0","6","16","take care , i care","3","3",""
"136903","0","4","16","take care , i care","1","3",""
"136905","0","6","16","take carec, i care","4","3",""
"136906","0","8","16","take carec, i care","7","3",""
"136911","0","7","16","take care , i care","5","3",""
"136913","0","3","16","take care , i care","2","3",""
"136915","0","6","16","take carec, i care","5","3",""
"136916","0","7","16","take care , icare","6","3",""
"136917","0","4","16","take care , i care","3","3",""
"136918","0","4","16","take care i, care ","3","3",""
"136919","0","9","16","take care, i care","7","3",""
"136923","0","6","16","take care , i care","5","3",""
"136927","0","5","16","take care , i care","4","3",""
"136929","0","2","16","take carec, i care","1","3",""
"136930","0","5","16","take care , i care","4","3",""
"136931","0","2","16","take care, i care","1","3",""
"136932","0","2","16","take care,i care","1","3",""
"136933","0","4","16","take care , i care","2","3",""
"136934","0","9","16","take care,i care","2","3",""
"136937","0","3","16","take care,i care","2","3",""
"136938","0","5","16","take care, i care","4","3",""
"136942","0","7","16","take care , i care","6","3",""
"136943","0","3","16","take care ,i care","2","3",""
"136944","0","3","16","take care,i care","2","3",""
"136945","0","6","16","take care, i care","4","3",""
"136950","0","3","16","take care , i care","2","3",""
"136951","0","2","16","take care , i care","1","3",""
"136952","0","4","16","yellow card","1","3",""
"136956","0","4","16","take care , icare","3","3",""
"136957","0","6","16","take care , i care","4","3",""
"136959","0","6","16","take care , i care","4","3",""
"136961","0","3","16","take care , i care","2","3",""
"136963","0","4","16","take care , i care","2","3",""
"136964","0","4","16","take care , i care","3","3",""
"137394","0","5","16","take care i care","4","3",""
"137397","0","5","16","takecare icare","1","3",""
"137399","0","3","16","take care i care","1","3",""
"137404","0","2","15","philcare","1","6",""
"137409","0","4","16","takecare icare","1","3",""
"137413","0","2","15","intelicare","1","6",""
"137426","0","9","16","take care i care","1","3",""
"137427","0","5","15","intelicare","1","6",""
"137429","0","5","16","take care i care","1","3",""
"137431","0","6","15","generali","1","6",""
"137435","0","3","15","metro care","1","6",""
"137438","0","6","15","maxicare","1","6",""
"137438","1","7","15","maxicare","1","6",""
"137440","0","4","16","take care i care","1","3",""
"137440","1","5","16","take care i care","1","3",""
"137442","0","9","16","take care i care","1","3",""
"137466","0","4","15","medicard","1","6",""
"137472","0","7","15","maxicare","1","6",""
"137476","0","9","15","maxicare","3","6",""
"140930","0","10","16","Take Care I Care","3","3",""
"140932","0","5","16","Take Care I Care","4","3",""
"140934","0","8","16","Take Care I Care","5","3",""
"141322","0","5","15","intellecare","1","3",""
"141331","0","4","16","intellecare","1","6",""
"141342","0","6","16","intelecare","1","6",""
"141351","0","3","16","take care","1","3",""
"141354","0","6","16","take care","1","3",""
"141360","0","9","16","intellecare","1","3",""
"141361","0","4","16","take care","1","3",""
"141362","0","3","16","philcare","1","6",""
"141363","0","5","16","medicard","1","6",""
"141364","0","4","16","intellecare","2","6",""
"141365","0","13","16","i care","1","3",""
"141367","0","3","16","intelecare","1","6",""
"141374","0","13","18","scholarship","1","3",""
"141382","0","7","16","intellecare","5","6",""
"141383","0","3","16","medicare","1","3",""
"141383","1","4","16","intellecare","1","3",""
"141399","0","4","15","medecard","2","6",""
"141401","0","4","16","value care","3","6",""
"141407","0","4","15","lifeline","1","6",""
"141409","0","4","15","takecare icare","1","3",""
"141411","0","4","16","medicare","3","6",""
"141415","0","2","16","intellecare","1","3",""
"141415","1","3","15","medicare","1","3",""
"141417","0","8","16","i care","1","3",""
"141419","0","4","16","i care","1","3",""
"141422","0","2","16","intellecare","1","3",""
"141422","1","3","16","medicare","1","3",""
"141426","0","3","16","medicard","1","6",""
"141428","0","31","16","medicare","1","6",""
"141431","0","9","16","icare","1","3",""
"141434","0","8","16","medecare","1","3",""
"141439","0","4","16","takecare icare","1","3",""
"141446","0","3","16","medicare","1","3",""
"141451","0","3","16","intellecare","2","6",""
"142567","0","8","16","take care i care","3","3",""
"143130","0","5","16","take care i care","2","3",""
"143131","0","21","16","take  care i care","1","3",""
"143135","0","4","16","take care i care","1","3",""
"143136","0","6","16","take care i care","1","3",""
"143137","0","6","16","take care i care","1","3",""
"143138","0","4","16","take care i care","1","3",""
"143139","0","4","16","take care i care","1","3",""
"143140","0","3","16","take care i care","1","3",""
"143141","0","6","16","take care i care","1","3",""
"143142","0","3","21","nha","2","1",""
"143143","0","3","16","take care i care","2","3",""
"143144","0","2","21","nha","1","3",""
"143145","0","5","16","take care i care","2","3",""
"143146","0","5","16","take care i care","2","3",""
"143147","0","3","16","take care i care","1","3",""
"143155","0","4","16","take care i care","3","3",""
"143157","0","4","16","take care i care","2","3",""
"143160","0","10","16","take care i care","5","3",""
"122699","0","5","16","take care,i care","2","3",""
"143176","0","7","15","maxicare","3","6",""
"143675","0","4","16","take care i care","1","3",""
"143676","0","3","16","take care i care","1","3",""
"143677","0","6","16","take care i care","1","3",""
"143679","0","7","16","take care i care","1","3",""
"143680","0","4","16","take care i care","1","3",""
"143681","0","7","16","take care i care","6","3",""
"143686","0","4","16","take care i care","2","3",""
"143688","0","7","16","take care i care","2","3",""
"143691","0","6","16","take care i carw","5","3",""
"144015","0","7","16","take care i care","4","3",""
"144017","0","10","16","take care i care","5","3",""
"144018","0","4","16","take care i care","2","3",""
"144020","0","6","16","take care i care","4","3",""
"144023","0","3","16","take care i care","1","3",""
"144026","0","5","16","take care i care","3","3",""
"144027","0","3","16","take care i care","1","3",""
"144029","0","15","16","take care i care","5","3",""
"144030","0","3","16","take care i care","2","3",""
"144033","0","7","16","take care i care","4","3",""
"144035","0","5","16","take care i care","3","3",""
"144935","0","4","18","emi calixto educational ","1","3",""
"145916","0","5","16","maxicare","1","6",""
"145919","0","4","16","intelicare","1","6",""
"145931","0","6","16","phil care","1","6",""
"145937","0","7","22","take care i care","2","3",""
"146196","0","3","16","take care i care","1","3",""
"146199","0","6","16","take care i care","4","3",""
"146201","0","5","16","take care i care","4","3",""
"146202","0","4","16","take care i care","2","3",""
"146204","0","6","16","take care i care","5","3",""
"146205","0","4","16","take care i care","3","3",""
"146206","0","6","16","take care i care","5","3",""
"146207","0","5","16","take care i care","3","3",""
"146208","0","9","16","take care i care","3","3",""
"146209","0","4","16","take care i care","3","3",""
"146210","0","4","16","take care i care","3","3",""
"146213","0","4","16","take care i care","3","3",""
"146214","0","4","16","take care i care","3","3",""
"146218","0","7","16","take care i care","6","3",""
"146220","0","5","16","take care i care","3","3",""
"149095","0","2","15","life insurance","1","1",""
"149099","0","2","15","life insurance","1","1",""
"149543","0","4","16","takecare icare","1","3",""
"151212","0","60","22","social pension for senior citizen","1","3",""
"151213","0","102","22","social pension for senior citizen","2","3",""
"151448","0","6","16","take care , i care","1","3",""
"151449","0","4","16","take carec, i carec","3","3",""
"151451","0","5","16","take care , i care ","3","3",""
"151454","0","3","16","take care , i care","2","3",""
"151456","0","5","16","take care , i care","3","3",""
"151487","0","8","16","take care , i care","4","3",""
"152335","0","10","16","take care i care","6","3",""
"152655","0","15","15","take care i care","3","3",""
"152660","0","3","16","take care i care","1","3",""
"152704","0","5","16","take care, i care","2","3",""
"152705","0","6","16","take care, i care","5","3",""
"152706","0","6","16","take care , i care","3","3",""
"152709","0","8","16","take care , i care ","7","3",""
"152713","0","6","16","take care , i care ","2","3",""
"152714","0","4","16","take care , i care ","3","3",""
"152715","0","4","16","take care , i care","3","3",""
"153139","0","5","16","intele care","4","6",""
"153146","0","4","16","take care , i care","3","3",""
"153232","0","8","16","take care , i care","4","3",""
"153581","0","2","16","I Care Take Care","1","3",""
"153982","0","5","16","take care i care","2","3",""
"153986","0","28","16","take care i care","3","3",""
"160439","0","11","16","take care i care","4","1",""
"160526","0","4","19","livelihood educational assesment program","1","3",""
"160537","0","3","16","senior program","2","4",""
"160563","0","2","18","caritas","1","6",""
"161156","0","5","16","take care , i care ","1","3",""
"161161","0","5","16","take care , i care","4","3",""
"161162","0","6","16","take care , i care","5","3",""
"161163","0","6","16","take care i care","5","3",""
"161164","0","5","16","take carec, i care","3","3",""
"161165","0","3","16","take care, i care","2","3",""
"161167","0","5","16","take care , i care","1","3",""
"161168","0","4","16","take care , i care","1","3",""
"162229","0","9","16","take care i care","6","3",""
"162259","0","9","16","take care i care","5","3",""
"164444","0","3","16","take care i care","2","3",""
"164453","0","4","16","take care i care","3","3",""
"164461","0","7","16","take care i care","6","3",""
"164466","0","9","16","take care i care","4","3",""
"164468","0","5","16","take care i care","4","3",""
"164470","0","4","16","take care i care","3","3",""
"164475","0","2","16","take care i care","1","3",""
"170269","0","3","16","take care i care","2","3",""
"170274","0","4","16","take care i care","2","3",""
"170278","0","4","16","take care i care","3","3",""
"171426","0","5","19","candle making","1","3",""
"171426","1","6","19","perfume making","1","3",""
"171456","0","4","16","philcare","1","1",""
"171979","0","9","16","Take Care I Care","2","3",""
"173183","0","7","16","take care i care","4","3",""
"176860","0","3","16","take care i care","1","3",""
"176861","0","4","16","take care i care","1","3",""
"176871","0","6","16","take care i care","1","3",""
"176898","0","5","16","take care i care","1","3",""
"176902","0","4","16","medicare","1","8","company"
"176976","0","3","22","take care i care","2","3",""
"176983","0","5","16","take care i care","1","3",""
"178818","0","4","16","philhealth ng masa","3","1",""
"178827","0","37","16","philhealth ng masa","5","1",""
"178872","0","4","15","hppi health ","1","1",""
"178891","0","5","16","hospitalization","4","6",""
"178899","0","5","16","take care i care","1","3",""
"179576","0","7","17","dswd feeding program","1","3",""
"179576","1","8","19","livelihood-ngos","1","6",""
"184223","0","5","16","take care i care","2","5",""
"184224","0","3","16","take care i care","2","3",""
"184230","0","4","16","take care i care","3","3",""
"184232","0","5","16","take care i care","4","3",""
"184236","0","6","16","take care i care","5","3",""
"184237","0","6","16","take care i care","5","3",""
"184240","0","16","16","take care i care","5","3",""
"184242","0","5","16","take care i care","4","3",""
"192124","0","4","16","take care i care","3","3",""
"192125","0","5","16","take care i care","4","3",""
"192126","0","4","16","take care i care","3","3",""
"192127","0","4","16","take care i care","3","3",""
"192128","0","3","16","taka care i care","2","3",""
"192129","0","3","16","take care i care","2","3",""
"192137","0","5","16","take care i care","3","3",""
"192142","0","3","15","Medicard","2","6",""
"192144","0","7","15","maxicare","6","6",""
"192149","0","4","15","lntellicare","3","6",""
"192156","0","3","15","intellicare","1","6",""
"192162","0","7","16","take care i care","6","3",""
"192163","0","4","16","take care i care","3","3",""
"192168","0","9","15","intellicare","4","6",""
"192179","0","6","15","intellicare","5","6",""
"192183","0","4","15","intellicare","3","6",""
"192795","0","7","17","Day Care Feeding Program","1","3",""
"192835","0","57","16","Take Care I Care","4","3",""
"192836","0","16","16","Take Care I Care","5","3",""
"192837","0","5","16","Take Care I Care","3","3",""
"192839","0","11","16","Take Care I Care","4","3",""
"192842","0","7","16","Take Care I Care","3","3",""
"192857","0","9","16","Take Care I Care","4","3",""
"192873","0","11","16","Take Care I Care","3","3",""
"192887","0","9","16","Take Care I Care","4","3",""
"193012","0","6","16","medicard","4","6",""
"193310","0","2","15","fortune life insurance","1","6",""
"199228","0","7","16","take care i care","1","3",""
"199230","0","3","16","take care i care","1","3",""
"199237","0","25","16","take care i care","1","3",""
"201551","0","9","18","marlon pesebre scholarship","1","3",""
"201564","0","11","18","vice mayor pesebre scholarship","1","3",""
"201565","0","5","16","sunlife insurance","3","6",""
"204030","0","3","16","i care take care","1","3",""
"204035","0","8","22","i care take care","1","3",""
"204052","0","2","22","take care i care","1","3",""
"204079","0","2","16","i care take care","1","3",""
"204707","0","3","16","Take Care I Care","1","3",""
"204715","0","9","22","Educational Assistance","2","3",""
"204920","0","6","16","take cre i care","2","3",""
"204920","1","7","16","take care i care","1","3",""
"204920","2","8","16","take care i care","2","3",""
"204921","0","13","18","marlon pesebre scholarship","1","3",""
"204925","0","6","16","take care i care","4","3",""
"204928","0","6","16","take care i care","1","3",""
"204937","0","33","15","maxicare","1","6",""
"204937","1","34","16","take care i care","1","3",""
"204956","0","16","15","maxicare","1","6",""
"204961","0","4","16","take care i care","1","3",""
"204965","0","6","16","take care i care","1","3",""
"204978","0","3","15","intelicare","1","6",""
"204994","0","4","16","take care i care","1","3",""
"204997","0","4","15","intelicare","1","6",""
"204997","1","5","15","maxicare","1","6",""
"205000","0","9","15","east west  care","2","6",""
"205003","0","2","15","intellicare","1","6",""
"207935","0","14","16","Take Care,I Care","6","3",""
"208268","0","2","16","Take Care,I Care","1","3",""
"208269","0","53","16","Take Care,I Care","5","3",""
"208270","0","7","16","Take Care,I Care","1","3",""
"208272","0","8","16","Take Care,I Care","7","3",""
"208273","0","7","16","Take Care,I Care","1","3",""
"208280","0","10","18","Caritas","1","6",""
"213479","0","5","16","sunlife insurance","3","6",""
"215533","0","3","16","take care i care","1","3",""
"215540","0","4","16","take care i care","2","3",""
"217964","0","15","16","Take Care,I  Care","1","3",""
"217974","0","4","16","Take Care,I Care","1","3",""
"220520","0","4","16","take care i care","2","3",""
"220520","1","5","18","4ps","2","3",""
"220523","0","4","16","take care i care","3","3",""
"220524","0","5","16","take care i care","4","3",""
"220529","0","6","16","take care i care","5","3",""
"220993","0","19","21","Pag Ibig Fund","1","1",""
"220994","0","47","16","Take Care,I Care","2","3",""
"224667","0","2","16","TAKE CARE I CARE","6","3",""
"224680","0","2","16","I CARE TAKE CARE","1","3",""
"224688","0","7","16","Take care I care","1","3",""
"224698","0","2","16","Take Care I Care","1","3",""
"224702","0","2","16","Take Care I Care","1","3",""
"224708","0","2","16","Take care I care","1","3",""
"224728","0","2","16","Take Care I Care","1","3",""
"224747","0","2","16","Take Care I Care","1","3",""
"224755","0","11","16","Take Care I Care","5","3",""
"224763","0","15","16","Take Care I Care","1","3",""
"225466","0","7","16","take care i care","1","3",""
"222287","0","22","16","take care i care","2","3",""
"222292","0","1406568272245","16","take care i care","2","3",""
"222293","0","1406568272214","16","take care i care","2","3",""
"222297","0","1406568272243","16","take care i care","4","3",""
"222300","0","4","16","take care i care","5","3",""
"222320","0","1406568272272","16","take care i care","4","3",""
"222321","0","3","16","take care i care","4","3",""
"222303","0","4","16","take care i care","4","3",""
"224229","0","1406568272247","16","take care i care","2","3",""
"224238","0","13","16","take care i care","7","1",""
"224242","0","5","16","take care i care","1","3",""
"222312","0","3","16","take care i care","6","3",""
"226017","0","3","16","take care i care","2","3",""
"226019","0","8","16","take care i care","7","3",""
"226020","0","7","16","take care i care","6","3",""
"226023","0","5","16","take care icare","4","3",""
"226024","0","8","16","take care i care","5","3",""
"226027","0","7","16","take care i care","2","3",""
"226030","0","6","16","take care icare","3","3",""
"226046","0","6","16","take care i care","4","3",""
"226048","0","5","18","4ps","3","1",""
"226053","0","3","16","take care i care","1","3",""
"230240","0","4","16","take care i care","1","3",""
"230244","0","5","16","take care i care","3","3",""
"230245","0","3","16","take care i care","2","3",""
"233556","0","7","16","Take Care I Care","1","3",""
"233558","0","5","16","Take Care I Care","2","3",""
"233613","0","7","16","Take Care I Care","3","3",""
"234232","0","6","22","Take Care I Care","1","3",""
"234234","0","4","22","Take Care I Care","1","3",""
"234892","0","7","16","pag ibig","6","1",""
"234893","0","11","16","take care i care","1","3",""
"234898","0","5","16","take care i care","2","3",""
"235917","0","5","16","Take Care I Care","4","3",""
"235930","0","9","16","Take Care I Care","6","3",""
"235945","0","5","16","take care i care","2","3",""
"235946","0","3","16","take care i care","2","3",""
"235951","0","4","16","Take Care I Care","3","3",""
"235971","0","9","16","Take Care I Care","4","3",""
"235991","0","4","16","Take care I care","2","3",""
"236037","0","16","16","Take Care I Care","4","3",""
"236039","0","11","16","Take care I care","5","3",""
"236043","0","11","16","Take Care I Care","5","3",""
"236056","0","6","16","Take care I care","5","3",""
"236078","0","9","16","Take Care I Care","4","3",""
"236342","0","4","16","take care i care","1","3",""
"236347","0","2","16","take care i care","4","3",""
"236429","0","19","22","Take Care I Care","1","3",""
"236434","0","5","22","Take Care I Care","1","1",""
"236450","0","9","22","Take Care I Care","1","1",""
"236567","0","47","16","take care i care","3","3",""
"240036","0","4","22","Take Care I Care","2","3",""
"240047","0","4","22","Take Care I Care","1","1",""
"240050","0","6","22","Tace Care I Care","1","3",""
"240055","0","4","22","Take Care I Care","1","3",""
"240057","0","4","22","Take Care I Care","1","3",""
"240371","0","4","22","Take Care I Care","1","3",""
"240380","0","9","22","Take Care I Care","1","3",""
"240382","0","8","22","Take Care I Care","1","3",""
"240383","0","17","22","Take Care I Care","1","3",""
"244063","0","3","16","take care i care","2","3",""
"244064","0","7","16","asia life","3","6",""
"244737","0","3","16","take care i care","1","3",""
"244738","0","3","16","take care i care","2","3",""
"245902","0","7","16","take care i care","1","3",""
"245915","0","3","16","take care i care","2","3",""
"245920","0","3","16","take care i care","2","3",""
"246666","0","3","16","take care i care","1","3",""
"249516","0","6","16","take care i care","4","3",""
"249546","0","6","16","take care i care","4","3",""
"249553","0","5","16","take care i care","4","3",""
"249555","0","4","16","take care i care","3","3",""
"249556","0","8","16","take care i care","4","3",""
"249558","0","4","16","take care i care ","1","3",""
"249560","0","9","16","take care i care","4","3",""
"249561","0","5","16","take care i care","4","3",""
"249563","0","8","16","maxi care","1","6",""
"249567","0","6","16","maxi care","2","6",""
"249569","0","6","16","take care i care","3","3",""
"249570","0","3","16","take care i care","2","3",""
"249571","0","7","16","medicard","3","6",""
"249574","0","5","16","take care i care ","3","3",""
"249691","0","3","16","take care i care","2","3",""
"249700","0","3","16","take care i care","2","3",""
"253145","0","6","16","take care i care ","4","3",""
"253146","0","7","16","take care i care","6","3",""
"253154","0","6","16","take care i care","5","3",""
"253157","0","4","16","take care i care","3","3",""
"254539","0","8","16","take care i care","5","3",""
"254543","0","7","16","take care i care","2","3",""
"254547","0","9","16","take care i care","6","3",""
"255408","0","9","16","take care i care","6","3",""
"255415","0","3","16","take care i care","2","3",""
"255512","0","2","22","take care i care","1","3",""
"255589","0","2","16","take care i care","1","3",""
"255893","0","8","16","take care i care","1","3",""
"261653","0","14","16","take care i care","5","3",""
"261688","0","8","16","take care i care","2","3",""
"263068","0","5","16","take care i care","1","3",""
"268293","0","5","16","take care i care ","4","3",""
"268294","0","5","16","take care i care ","4","3",""
"268295","0","3","16","take care i care","2","3",""
"268296","0","2","16","maxi care","1","6",""
"268298","0","6","16","take care i care","4","3",""
"268308","0","4","16","maxi care ","3","6",""
"268309","0","4","16","take care i care","1","3",""
"268312","0","4","16","take care i care ","3","3",""
"268313","0","3","16","take care i care ","2","3",""
"268319","0","2","16","take care i care ","1","3",""
"268328","0","4","16","take care i care","3","3",""
"268329","0","4","16","take care i care","2","3",""
"268330","0","7","16","telle card","2","6",""
"268367","0","25","16","take care i care","4","3",""
"268378","0","11","16","take care i care","4","1",""
"270441","0","9","16","take care i care","2","3",""
"270450","0","47","16","take care i care","5","3",""
"274300","0","3","16","take care i care ","1","3",""
"274301","0","3","16","take care i care","1","3",""
"274302","0","6","16","take care i care ","5","3",""
"274304","0","6","16","take care i care ","5","3",""
"274308","0","2","16","take care i care ","1","3",""
"274309","0","13","16","take care i care ","2","3",""
"274311","0","5","16","intelle care","4","6",""
"278372","0","5","16","Take Care I Care","2","3",""
"278373","0","7","16","Take Care I Care","2","3",""
"278376","0","11","16","take care i care","2","3",""
"278384","0","3","16","take care i care","1","3",""
"278386","0","7","16","take care i care","3","3",""
"278393","0","7","16","take care i care","2","3",""
"278408","0","5","16","take care i care","2","3",""
"278413","0","17","16","Philippine health insurance corp.","2","1",""
"278416","0","13","16","take care i care","6","3",""
"278418","0","4","16","take care i care","1","3",""
"278430","0","7","16","take care i care","1","3",""
"278432","0","5","16","take care i care","1","3",""
"278434","0","9","16","4 Ps medical assistant","2","1",""
"278442","0","4","16","take care i care","2","3",""
"278453","0","100","16","take care i care","8","3",""
