"main.id","hpq_phiheal_empl_mem.id","phiheal_empl_mem_refno"
"68865","0","2"
"68871","0","1"
"69112","0","1"
"69112","1","2"
"69116","0","1"
"69117","0","2"
"69117","1","3"
"69120","0","1"
"69121","0","1"
"69122","0","1"
"69123","0","1"
"69124","0","1"
"69126","0","1"
"69127","0","1"
"69128","0","1"
"69129","0","1"
"69130","0","1"
"67518","0","1"
"67518","1","4"
"68915","0","1"
"68915","1","4"
"68916","0","1"
"68920","0","1"
"68923","0","1"
"68924","0","2"
"68928","0","3"
"68928","1","4"
"72079","0","2"
"72079","1","1"
"72079","2","3"
"72079","3","4"
"72079","4","5"
"72082","0","1"
"72082","1","2"
"72082","2","3"
"72082","3","4"
"72082","4","5"
"72085","0","1"
"72085","1","2"
"72085","2","3"
"72085","3","4"
"72085","4","5"
"72087","0","1"
"72087","1","2"
"72093","0","1"
"72093","1","2"
"72093","2","3"
"72099","0","5"
"72099","1","6"
"72099","2","7"
"72099","3","8"
"72100","0","1"
"72100","1","2"
"72103","0","1"
"72103","1","2"
"72103","2","3"
"72104","0","1"
"72104","1","2"
"72104","2","3"
"72104","3","4"
"72910","0","1"
"72910","1","3"
"72911","0","1"
"72911","1","2"
"72912","0","1"
"72912","1","2"
"72096","0","1"
"72096","1","2"
"72096","2","3"
"72096","3","4"
"72096","4","5"
"80333","0","1"
"80334","0","1"
"80340","0","1"
"59731","0","2"
"67552","0","1"
"67552","1","2"
"88714","0","1"
"88720","0","1"
"88721","0","2"
"88722","0","1"
"88722","1","2"
"88723","0","1"
"88724","0","1"
"88725","0","1"
"88728","0","4"
"88730","0","1"
"88730","1","5"
"88731","0","1"
"88731","1","2"
"88732","0","1"
"88733","0","1"
"88734","0","3"
"88735","0","1"
"88736","0","3"
"88736","1","1"
"88737","0","1"
"88738","0","1"
"88738","1","3"
"88738","2","6"
"88738","3","7"
"88739","0","1"
"88740","0","2"
"88741","0","2"
"88741","1","3"
"88744","0","1"
"98284","0","1"
"98284","1","2"
"98285","0","25"
"98285","1","26"
"98285","2","27"
"98285","3","28"
"98285","4","29"
"98285","5","30"
"98285","6","31"
"98287","0","2"
"98287","1","5"
"98287","2","4"
"98287","3","6"
"98287","4","7"
"98287","5","8"
"98287","6","3"
"98293","0","3"
"98308","0","2"
"98312","0","2"
"98319","0","1"
"98321","0","4"
"98322","0","1"
"98726","0","1"
"98726","1","2"
"98726","2","3"
"98727","0","1"
"98727","1","2"
"98728","0","2"
"98728","1","3"
"98732","0","2"
"98735","0","1"
"98735","1","1"
"98735","2","1"
"98735","3","1"
"98742","0","1"
"98742","1","2"
"98742","2","3"
"98742","3","4"
"98746","0","1"
"98746","1","2"
"98746","2","3"
"98746","3","4"
"98746","4","5"
"98746","5","13"
"98749","0","4"
"98749","1","5"
"98749","2","6"
"98750","0","3"
"98750","1","4"
"98752","0","1"
"98752","1","2"
"98752","2","3"
"98752","3","4"
"98753","0","3"
"98754","0","1"
"98754","1","2"
"98754","2","3"
"98754","3","4"
"98760","0","1"
"98760","1","2"
"98761","0","1"
"98763","0","1"
"98763","1","2"
"98763","2","3"
"98763","3","4"
"99433","0","10"
"99433","1","11"
"99433","2","12"
"100880","0","2"
"103291","0","2"
"103292","0","1"
"103292","1","3"
"103293","0","1"
"103294","0","3"
"103296","0","1"
"103296","1","2"
"103296","2","3"
"103296","3","4"
"103296","4","5"
"103297","0","1"
"103298","0","1"
"103299","0","1"
"103301","0","1"
"103301","1","2"
"103301","2","3"
"103303","0","1"
"103303","1","2"
"103306","0","1"
"103306","1","2"
"103306","2","3"
"103309","0","1"
"103311","0","2"
"103311","1","1"
"103312","0","1"
"103312","1","2"
"103312","2","3"
"103312","3","4"
"103312","4","5"
"103312","5","6"
"103313","0","1"
"103314","0","1"
"103314","1","2"
"103314","2","3"
"103315","0","1"
"103315","1","2"
"103315","2","3"
"103315","3","3"
"103316","0","1"
"103317","0","1"
"103318","0","1"
"103318","1","2"
"103318","2","3"
"103318","3","4"
"103318","4","5"
"103326","0","1"
"103437","0","3"
"103437","1","4"
"103437","2","5"
"103533","0","8"
"103536","0","1"
"103536","1","2"
"103536","2","3"
"103536","3","4"
"103536","4","5"
"103540","0","1"
"103540","1","2"
"103540","2","3"
"103540","3","4"
"103540","4","5"
"103541","0","1"
"103541","1","2"
"103541","2","5"
"103541","3","6"
"103542","0","1"
"103542","1","2"
"103542","2","3"
"103542","3","4"
"103552","0","1"
"103552","1","3"
"103566","0","1"
"103566","1","2"
"103566","2","3"
"103581","0","1"
"103586","0","1"
"104500","0","1"
"104500","1","2"
"104500","2","3"
"104500","3","4"
"104500","4","5"
"104501","0","1"
"104501","1","2"
"104501","2","3"
"104501","3","4"
"104501","4","5"
"104501","5","6"
"104528","0","1"
"104529","0","1"
"104529","1","2"
"104529","2","3"
"104529","3","4"
"104529","4","5"
"104531","0","1"
"104532","0","1"
"104533","0","1"
"104533","1","2"
"104533","2","3"
"104533","3","4"
"104536","0","1"
"104539","0","1"
"104539","1","2"
"104539","2","3"
"104539","3","4"
"104539","4","5"
"104541","0","1"
"104541","1","2"
"104542","0","1"
"104543","0","1"
"104545","0","1"
"104545","1","2"
"104547","0","1"
"104547","1","2"
"104547","2","3"
"104547","3","4"
"104508","0","1"
"104508","1","2"
"104508","2","3"
"104508","3","4"
"104508","4","5"
"104508","5","6"
"104509","0","1"
"104509","1","2"
"104509","2","3"
"104509","3","4"
"104510","0","1"
"104511","0","1"
"104514","0","1"
"104514","1","2"
"104514","2","5"
"104504","0","1"
"104504","1","2"
"104504","2","3"
"104504","3","4"
"104504","4","5"
"104506","0","1"
"104506","1","2"
"104506","2","3"
"104506","3","4"
"104503","0","1"
"104503","1","2"
"98739","0","1"
"98739","1","2"
"98739","2","3"
"98739","3","4"
"98739","4","5"
"98739","5","6"
"110255","0","1"
"110289","0","1"
"110688","0","1"
"110688","1","2"
"110688","2","3"
"110688","3","4"
"110688","4","5"
"110692","0","1"
"110692","1","2"
"110692","2","3"
"110732","0","1"
"110732","1","2"
"111431","0","1"
"111431","1","2"
"111431","2","3"
"111431","3","4"
"111431","4","5"
"111439","0","1"
"111439","1","2"
"111439","2","3"
"111439","3","4"
"111439","4","5"
"111444","0","1"
"111444","1","2"
"111444","2","3"
"111446","0","1"
"111446","1","2"
"111446","2","3"
"111446","3","4"
"111446","4","5"
"104535","0","1"
"104535","1","2"
"111938","0","1"
"111938","1","2"
"111938","2","3"
"111939","0","2"
"111939","1","3"
"111939","2","4"
"111941","0","2"
"111944","0","2"
"111944","1","3"
"115643","0","2"
"115645","0","2"
"115650","0","1"
"115650","1","2"
"115651","0","1"
"115653","0","1"
"115656","0","1"
"115656","1","2"
"115658","0","1"
"115659","0","2"
"115689","0","1"
"116496","0","1"
"116496","1","2"
"116496","2","3"
"116496","3","4"
"116502","0","1"
"116502","1","2"
"116502","2","3"
"116504","0","1"
"116504","1","2"
"116504","2","3"
"116506","0","3"
"116506","1","4"
"116512","0","1"
"116513","0","1"
"116513","1","2"
"116513","2","3"
"116514","0","1"
"116515","0","1"
"116515","1","2"
"116515","2","5"
"116521","0","1"
"116523","0","1"
"116523","1","2"
"116523","2","3"
"116530","0","1"
"116530","1","2"
"116530","2","3"
"116531","0","1"
"116531","1","2"
"116531","2","3"
"116532","0","1"
"116532","1","2"
"116532","2","3"
"116532","3","4"
"116534","0","1"
"116534","1","4"
"116536","0","7"
"116537","0","1"
"116537","1","3"
"116539","0","1"
"116539","1","2"
"116541","0","1"
"116545","0","3"
"116548","0","1"
"116549","0","1"
"116549","1","2"
"116551","0","2"
"116551","1","4"
"116553","0","1"
"116553","1","2"
"116553","2","5"
"116732","0","2"
"116733","0","1"
"116733","1","2"
"116733","2","3"
"116738","0","1"
"116738","1","2"
"116739","0","1"
"116739","1","2"
"116739","2","3"
"116739","3","4"
"116739","4","5"
"116740","0","1"
"116741","0","1"
"116741","1","2"
"116741","2","3"
"116742","0","1"
"116742","1","2"
"116744","0","1"
"116744","1","2"
"116744","2","3"
"116744","3","4"
"116746","0","1"
"116749","0","1"
"116749","1","2"
"116749","2","4"
"116749","3","5"
"116756","0","1"
"116756","1","2"
"116756","2","3"
"116756","3","4"
"116756","4","5"
"116756","5","6"
"116758","0","1"
"116758","1","2"
"116758","2","3"
"116758","3","4"
"116759","0","1"
"116759","1","2"
"116767","0","1"
"116770","0","4"
"116770","1","5"
"116771","0","1"
"116771","1","2"
"120653","0","1"
"120653","1","3"
"120653","2","5"
"120653","3","6"
"120655","0","1"
"120656","0","1"
"120656","1","2"
"120658","0","1"
"120658","1","2"
"120660","0","1"
"120660","1","2"
"120663","0","1"
"120665","0","1"
"120667","0","1"
"120667","1","2"
"120667","2","3"
"120667","3","5"
"120669","0","5"
"120669","1","3"
"120670","0","1"
"120675","0","1"
"120676","0","1"
"120677","0","1"
"120679","0","1"
"120681","0","1"
"120681","1","4"
"120681","2","8"
"120685","0","5"
"120689","0","3"
"120693","0","1"
"120693","1","2"
"120694","0","1"
"120694","1","2"
"120695","0","4"
"120696","0","1"
"120696","1","2"
"120697","0","1"
"120698","0","1"
"120698","1","2"
"120699","0","1"
"120699","1","2"
"120699","2","3"
"120700","0","1"
"120700","1","2"
"120701","0","2"
"120703","0","1"
"122411","0","1"
"122411","1","2"
"122413","0","1"
"122413","1","2"
"122413","2","3"
"122413","3","4"
"122415","0","1"
"122415","1","2"
"122415","2","3"
"122416","0","2"
"122416","1","3"
"122416","2","4"
"122417","0","1"
"122417","1","2"
"122417","2","3"
"122418","0","3"
"122418","1","4"
"122418","2","5"
"122418","3","6"
"122419","0","1"
"122419","1","2"
"122419","2","3"
"122419","3","4"
"122421","0","1"
"122421","1","2"
"122421","2","3"
"122421","3","4"
"122421","4","5"
"122421","5","6"
"122421","6","7"
"122423","0","1"
"122423","1","2"
"122423","2","3"
"122423","3","4"
"122424","0","1"
"122425","0","3"
"122426","0","3"
"122426","1","4"
"122426","2","5"
"122426","3","6"
"122427","0","1"
"122427","1","2"
"122427","2","3"
"122427","3","4"
"122428","0","7"
"122428","1","10"
"122434","0","1"
"122434","1","2"
"122435","0","1"
"122435","1","2"
"122435","2","3"
"122435","3","4"
"122436","0","1"
"122436","1","2"
"122436","2","3"
"122436","3","4"
"122436","4","5"
"122436","5","6"
"122437","0","1"
"122437","1","3"
"122437","2","4"
"122437","3","5"
"122437","4","6"
"122479","0","1"
"122479","1","2"
"122479","2","3"
"122482","0","1"
"122482","1","2"
"122483","0","1"
"122483","1","2"
"122483","2","3"
"122483","3","4"
"122487","0","1"
"122487","1","2"
"122487","2","3"
"122490","0","1"
"122490","1","2"
"122490","2","3"
"122491","0","1"
"122491","1","2"
"122491","2","3"
"122491","3","4"
"122495","0","1"
"122495","1","2"
"122495","2","14"
"122500","0","1"
"122500","1","2"
"122500","2","3"
"122500","3","4"
"122501","0","1"
"122501","1","2"
"122501","2","5"
"122501","3","6"
"122501","4","7"
"123145","0","1"
"123760","0","1"
"123760","1","2"
"123763","0","1"
"123763","1","2"
"123768","0","1"
"123768","1","2"
"126814","0","3"
"126814","1","4"
"126815","0","1"
"126815","1","2"
"126816","0","1"
"126816","1","2"
"126818","0","2"
"126819","0","1"
"126820","0","1"
"126822","0","1"
"126823","0","1"
"126825","0","3"
"126825","1","4"
"126825","2","5"
"126827","0","1"
"126828","0","1"
"126831","0","1"
"126832","0","2"
"126832","1","3"
"126843","0","1"
"120575","0","2"
"120576","0","1"
"120576","1","2"
"120576","2","3"
"120577","0","1"
"120577","1","2"
"120582","0","2"
"120582","1","1"
"120582","2","4"
"120582","3","3"
"120582","4","5"
"120584","0","1"
"120584","1","3"
"120599","0","1"
"120599","1","3"
"126988","0","1"
"126988","1","2"
"126988","2","3"
"126988","3","4"
"126988","4","5"
"126989","0","1"
"126994","0","1"
"126995","0","1"
"126995","1","2"
"126995","2","3"
"126996","0","4"
"126998","0","1"
"126998","1","3"
"126998","2","4"
"126998","3","5"
"126998","4","6"
"127000","0","1"
"127000","1","2"
"127003","0","1"
"127003","1","2"
"127003","2","3"
"127003","3","4"
"120601","0","1"
"120612","0","1"
"120617","0","1"
"120617","1","2"
"120617","2","3"
"120635","0","1"
"120635","1","2"
"120635","2","3"
"120635","3","4"
"120642","0","1"
"120642","1","2"
"122700","0","1"
"122701","0","1"
"122701","1","2"
"122701","2","3"
"122701","3","4"
"122711","0","3"
"122711","1","4"
"122716","0","1"
"122716","1","2"
"122716","2","3"
"122716","3","4"
"122717","0","1"
"122717","1","2"
"122717","2","3"
"122717","3","4"
"122717","4","5"
"122719","0","2"
"122719","1","1"
"122719","2","3"
"122731","0","1"
"122735","0","1"
"122735","1","4"
"122735","2","3"
"122735","3","4"
"122735","4","5"
"122735","5","6"
"122735","6","7"
"122736","0","1"
"122736","1","2"
"122736","2","3"
"122736","3","4"
"122736","4","5"
"122744","0","1"
"122744","1","2"
"122744","2","3"
"122744","3","4"
"122745","0","1"
"122745","1","2"
"122745","2","3"
"122746","0","1"
"122746","1","2"
"122746","2","3"
"122750","0","1"
"122750","1","3"
"122753","0","1"
"122753","1","2"
"122753","2","3"
"122754","0","1"
"122757","0","1"
"122757","1","2"
"122758","0","1"
"122758","1","2"
"122758","2","3"
"122758","3","4"
"122758","4","5"
"122765","0","1"
"127117","0","1"
"127117","1","2"
"127117","2","3"
"127120","0","1"
"127120","1","2"
"127125","0","1"
"127131","0","1"
"127131","1","2"
"127133","0","1"
"127133","1","2"
"127133","2","3"
"127133","3","4"
"127133","4","5"
"127135","0","1"
"127135","1","2"
"127135","2","3"
"127135","3","4"
"127135","4","5"
"127136","0","1"
"127136","1","2"
"127136","2","3"
"127136","3","4"
"127136","4","5"
"127137","0","1"
"127137","1","2"
"127137","2","3"
"127137","3","6"
"127137","4","5"
"127137","5","7"
"127137","6","8"
"127149","0","1"
"127149","1","2"
"127149","2","3"
"127152","0","1"
"127152","1","3"
"128531","0","1"
"128531","1","2"
"128531","2","3"
"128531","3","4"
"128532","0","3"
"128534","0","1"
"128535","0","1"
"128535","1","2"
"128535","2","3"
"128535","3","4"
"128535","4","5"
"128537","0","1"
"128538","0","1"
"128538","1","2"
"128538","2","3"
"128538","3","4"
"128539","0","1"
"128540","0","1"
"128540","1","2"
"128540","2","3"
"128540","3","4"
"128541","0","1"
"128541","1","2"
"128541","2","3"
"128541","3","4"
"128542","0","1"
"128543","0","1"
"128544","0","1"
"128546","0","1"
"128548","0","1"
"128549","0","1"
"128549","1","2"
"128549","2","4"
"128549","3","5"
"128550","0","1"
"128552","0","1"
"128552","1","5"
"128555","0","1"
"128555","1","2"
"129179","0","1"
"129179","1","2"
"129179","2","3"
"129179","3","4"
"129180","0","1"
"129180","1","2"
"129181","0","1"
"129181","1","3"
"129181","2","4"
"129181","3","5"
"129184","0","8"
"129184","1","9"
"129186","0","1"
"129186","1","2"
"129186","2","3"
"129186","3","4"
"129186","4","5"
"129187","0","1"
"129187","1","2"
"129187","2","3"
"129187","3","4"
"129187","4","5"
"129188","0","3"
"129188","1","4"
"129189","0","2"
"129189","1","3"
"129189","2","4"
"129189","3","5"
"129190","0","1"
"129190","1","2"
"129190","2","3"
"129190","3","4"
"129192","0","1"
"129192","1","2"
"129192","2","3"
"129192","3","4"
"129194","0","1"
"129194","1","2"
"129194","2","3"
"129194","3","4"
"129194","4","5"
"129195","0","1"
"129195","1","2"
"129196","0","1"
"129196","1","2"
"129196","2","3"
"129197","0","1"
"129200","0","1"
"129202","0","1"
"129202","1","2"
"129203","0","1"
"129204","0","1"
"129205","0","1"
"129206","0","1"
"129207","0","1"
"129208","0","1"
"129209","0","1"
"129213","0","1"
"129213","1","2"
"129213","2","3"
"129213","3","4"
"129213","4","5"
"129213","5","6"
"129213","6","7"
"129213","7","8"
"129213","8","9"
"129213","9","10"
"129214","0","1"
"129214","1","2"
"129214","2","3"
"129214","3","4"
"129214","4","5"
"129217","0","1"
"129219","0","1"
"129220","0","1"
"129221","0","1"
"129224","0","1"
"129224","1","2"
"129224","2","3"
"129224","3","4"
"129226","0","1"
"129226","1","3"
"129234","0","1"
"129234","1","2"
"129234","2","3"
"129234","3","4"
"129234","4","5"
"129235","0","1"
"129235","1","2"
"129235","2","3"
"129235","3","4"
"129235","4","5"
"129236","0","1"
"129237","0","1"
"129237","1","2"
"129237","2","3"
"129238","0","1"
"129238","1","2"
"129238","2","3"
"129238","3","4"
"129241","0","1"
"129241","1","2"
"129241","2","3"
"129243","0","1"
"129245","0","1"
"129554","0","2"
"129555","0","3"
"129555","1","2"
"129559","0","1"
"129559","1","2"
"129559","2","4"
"129559","3","5"
"129560","0","3"
"129561","0","1"
"129561","1","3"
"129564","0","1"
"129567","0","2"
"129569","0","2"
"129570","0","1"
"129571","0","4"
"129571","1","9"
"129571","2","10"
"129573","0","1"
"129573","1","2"
"129574","0","1"
"129576","0","1"
"129576","1","2"
"129576","2","3"
"129576","3","4"
"129577","0","1"
"129577","1","7"
"129579","0","3"
"129579","1","4"
"129580","0","1"
"129582","0","5"
"129582","1","7"
"129583","0","2"
"129584","0","1"
"129584","1","3"
"129584","2","4"
"129585","0","3"
"129586","0","3"
"129586","1","9"
"129586","2","11"
"129593","0","1"
"129593","1","2"
"129596","0","1"
"129598","0","1"
"129599","0","1"
"129600","0","2"
"129603","0","1"
"129609","0","2"
"129609","1","3"
"129609","2","4"
"129610","0","1"
"129610","1","2"
"129611","0","2"
"129612","0","1"
"129613","0","1"
"129617","0","1"
"129617","1","5"
"129619","0","1"
"129619","1","2"
"129619","2","4"
"129619","3","5"
"129620","0","1"
"129620","1","2"
"129620","2","3"
"129622","0","1"
"129622","1","2"
"129623","0","1"
"129624","0","4"
"129625","0","2"
"129625","1","4"
"129625","2","5"
"129626","0","1"
"129627","0","1"
"129628","0","1"
"129628","1","2"
"129629","0","1"
"129629","1","2"
"129631","0","1"
"129633","0","1"
"129633","1","2"
"129634","0","1"
"129635","0","1"
"129636","0","1"
"129637","0","1"
"129637","1","2"
"129637","2","3"
"129638","0","1"
"129638","1","2"
"129639","0","1"
"129639","1","3"
"129639","2","4"
"129640","0","2"
"129640","1","4"
"129641","0","3"
"129643","0","1"
"129643","1","2"
"129644","0","1"
"129644","1","2"
"129645","0","1"
"129645","1","2"
"129645","2","3"
"129646","0","1"
"129646","1","2"
"129647","0","1"
"129647","1","2"
"129648","0","1"
"129648","1","2"
"129649","0","1"
"129649","1","2"
"129650","0","1"
"129650","1","3"
"129650","2","4"
"129650","3","5"
"129651","0","1"
"129651","1","2"
"129651","2","3"
"129651","3","4"
"129652","0","1"
"129652","1","2"
"129653","0","1"
"129653","1","2"
"129654","0","1"
"129654","1","2"
"129654","2","3"
"129655","0","1"
"129656","0","1"
"129656","1","2"
"129657","0","1"
"129657","1","2"
"129659","0","3"
"129660","0","1"
"129661","0","1"
"129662","0","1"
"129683","0","1"
"129683","1","2"
"129683","2","3"
"129686","0","3"
"129686","1","4"
"129686","2","5"
"129686","3","6"
"129688","0","1"
"129690","0","1"
"129690","1","2"
"129690","2","3"
"129690","3","7"
"129690","4","15"
"130738","0","1"
"130738","1","2"
"130738","2","3"
"130738","3","4"
"130745","0","1"
"130745","1","2"
"130745","2","3"
"130745","3","4"
"130749","0","1"
"130749","1","2"
"130749","2","3"
"130749","3","4"
"130751","0","1"
"130751","1","2"
"130751","2","3"
"130752","0","1"
"130752","1","2"
"130756","0","1"
"130757","0","1"
"130757","1","2"
"130757","2","3"
"130757","3","4"
"130758","0","1"
"130758","1","2"
"130760","0","3"
"130760","1","2"
"130761","0","1"
"130761","1","2"
"130761","2","3"
"130762","0","3"
"130762","1","4"
"130765","0","1"
"130765","1","2"
"130765","2","3"
"130765","3","4"
"130766","0","2"
"130766","1","4"
"130808","0","3"
"130808","1","4"
"130810","0","1"
"130810","1","2"
"130812","0","1"
"130815","0","1"
"130818","0","3"
"130821","0","1"
"130821","1","2"
"130821","2","3"
"130830","0","1"
"130830","1","2"
"130830","2","3"
"130830","3","4"
"130831","0","1"
"130831","1","2"
"130831","2","3"
"130831","3","4"
"130831","4","5"
"130838","0","1"
"130838","1","2"
"130838","2","5"
"130839","0","1"
"130868","0","1"
"130868","1","2"
"130868","2","3"
"130868","3","4"
"130870","0","1"
"132142","0","1"
"132157","0","1"
"132160","0","2"
"132160","1","2"
"132177","0","1"
"132179","0","2"
"132182","0","1"
"133311","0","1"
"133316","0","1"
"133318","0","2"
"133318","1","4"
"133321","0","1"
"133323","0","1"
"133324","0","3"
"133325","0","1"
"133327","0","1"
"133327","1","3"
"133328","0","1"
"133328","1","3"
"133328","2","5"
"133331","0","3"
"133331","1","4"
"133333","0","2"
"133334","0","1"
"133334","1","3"
"133334","2","4"
"133334","3","6"
"133337","0","1"
"133337","1","3"
"133337","2","4"
"133337","3","6"
"133338","0","1"
"133338","1","3"
"133338","2","4"
"133338","3","6"
"133340","0","1"
"133342","0","1"
"133342","1","2"
"133343","0","1"
"133343","1","2"
"133363","0","1"
"133363","1","3"
"133369","0","2"
"133425","0","2"
"133430","0","2"
"133430","1","4"
"133432","0","4"
"133433","0","2"
"133433","1","4"
"133434","0","2"
"133434","1","4"
"133435","0","4"
"133437","0","2"
"133440","0","1"
"133440","1","2"
"133442","0","1"
"133443","0","1"
"133444","0","3"
"133741","0","1"
"136781","0","1"
"136781","1","2"
"136781","2","3"
"136781","3","4"
"136785","0","4"
"136789","0","1"
"136789","1","2"
"136789","2","7"
"136789","3","8"
"136789","4","9"
"136790","0","1"
"136794","0","1"
"136794","1","2"
"136796","0","1"
"136796","1","4"
"136797","0","1"
"136798","0","1"
"136798","1","2"
"136801","0","1"
"136801","1","2"
"136806","0","1"
"136807","0","1"
"136807","1","2"
"136811","0","1"
"136884","0","1"
"136892","0","1"
"136892","1","2"
"136892","2","3"
"136892","3","4"
"136892","4","5"
"136892","5","6"
"136892","6","7"
"136894","0","1"
"136894","1","2"
"136894","2","3"
"136911","0","1"
"136911","1","2"
"136911","2","3"
"136911","3","4"
"136911","4","5"
"136918","0","1"
"136920","0","1"
"136920","1","2"
"136920","2","3"
"136920","3","4"
"136920","4","5"
"136921","0","1"
"136927","0","1"
"136927","1","2"
"136927","2","4"
"136928","0","1"
"136928","1","4"
"136933","0","1"
"136933","1","2"
"136936","0","1"
"136936","1","2"
"136936","2","3"
"136936","3","4"
"136936","4","5"
"136945","0","1"
"136945","1","2"
"136945","2","4"
"136945","3","5"
"136948","0","1"
"136948","1","2"
"136948","2","3"
"136948","3","4"
"136949","0","1"
"136949","1","2"
"136949","2","4"
"136950","0","1"
"136950","1","2"
"136952","0","1"
"136952","1","3"
"136958","0","1"
"136958","1","2"
"136958","2","3"
"136958","3","4"
"136958","4","5"
"136960","0","1"
"136960","1","2"
"136960","2","3"
"136960","3","4"
"136964","0","1"
"136964","1","2"
"136964","2","3"
"136965","0","1"
"136966","0","1"
"136966","1","2"
"137206","0","3"
"137207","0","3"
"137207","1","4"
"137209","0","3"
"137210","0","1"
"137211","0","2"
"137212","0","1"
"137212","1","3"
"137212","2","4"
"137215","0","1"
"137215","1","2"
"137217","0","2"
"137395","0","1"
"137396","0","1"
"137398","0","1"
"137399","0","1"
"137401","0","1"
"137404","0","1"
"137406","0","1"
"137406","1","2"
"137407","0","1"
"137408","0","1"
"137409","0","1"
"137410","0","1"
"137411","0","1"
"137412","0","1"
"137413","0","1"
"137414","0","1"
"137415","0","1"
"137416","0","1"
"137416","1","2"
"137417","0","1"
"137419","0","1"
"137420","0","3"
"137422","0","3"
"137422","1","1"
"137424","0","1"
"137425","0","1"
"137425","1","2"
"137427","0","1"
"137427","1","3"
"137427","2","4"
"137428","0","1"
"137431","0","1"
"137431","1","2"
"137432","0","1"
"137433","0","2"
"137433","1","1"
"137434","0","2"
"137435","0","1"
"137435","1","2"
"137438","0","1"
"137438","1","2"
"137439","0","1"
"137440","0","1"
"137440","1","3"
"137442","0","1"
"137442","1","2"
"137444","0","3"
"137444","1","4"
"137448","0","1"
"137453","0","1"
"137455","0","1"
"137455","1","2"
"137455","2","3"
"137456","0","2"
"137458","0","1"
"137458","1","2"
"137458","2","3"
"137461","0","3"
"137465","0","2"
"137466","0","1"
"137467","0","1"
"137469","0","1"
"137472","0","1"
"137472","1","2"
"137473","0","1"
"137475","0","1"
"137476","0","2"
"137608","0","1"
"137609","0","2"
"137610","0","1"
"137612","0","1"
"137613","0","1"
"137615","0","1"
"137617","0","3"
"137618","0","1"
"137618","1","2"
"137625","0","1"
"137625","1","7"
"137626","0","3"
"137627","0","1"
"137628","0","2"
"137630","0","1"
"137632","0","1"
"137633","0","1"
"137634","0","1"
"137635","0","1"
"137636","0","1"
"137636","1","2"
"137637","0","1"
"137637","1","2"
"137638","0","1"
"137705","0","1"
"137717","0","1"
"137718","0","3"
"137727","0","1"
"137727","1","2"
"137729","0","4"
"137729","1","5"
"137730","0","1"
"137733","0","1"
"137734","0","1"
"137737","0","1"
"137739","0","2"
"137740","0","1"
"137741","0","1"
"137741","1","2"
"137742","0","1"
"137742","1","2"
"137746","0","1"
"137748","0","1"
"138371","0","1"
"138372","0","1"
"138373","0","1"
"138374","0","1"
"138375","0","1"
"138378","0","1"
"138379","0","1"
